title,location,posted_date,salary_annual,skill
Data Engineer,"Cleveland, GA",2023-07-22 04:26:40,,Communication
Data Engineer,"Cleveland, GA",2023-07-22 04:26:40,,R
Data Engineer,"Cleveland, GA",2023-07-22 04:26:40,,Azure
"Analyst, Vendor Analytics","San Diego, CA",2023-07-22 04:26:40,174250.0,Excel
"Analyst, Vendor Analytics","San Diego, CA",2023-07-22 04:26:40,174250.0,Communication
"Sr. Analyst, Analytics","San Diego, CA",2023-07-22 04:26:40,108900.0,SQL
"Sr. Analyst, Analytics","San Diego, CA",2023-07-22 04:26:40,108900.0,Power BI
"Sr. Analyst, Analytics","San Diego, CA",2023-07-22 04:26:40,108900.0,Tableau
"Sr. Analyst, Analytics","San Diego, CA",2023-07-22 04:26:40,108900.0,Excel
"Sr. Analyst, Analytics","San Diego, CA",2023-07-22 04:26:40,108900.0,Statistics
"Sr. Analyst, Analytics","San Diego, CA",2023-07-22 04:26:40,108900.0,Communication
Senior Lead Data Scientist,United States,2023-07-22 04:26:40,,Python
Senior Lead Data Scientist,United States,2023-07-22 04:26:40,,Machine Learning
Senior Lead Data Scientist,United States,2023-07-22 04:26:40,,Statistics
Senior Lead Data Scientist,United States,2023-07-22 04:26:40,,Communication
Senior Lead Data Scientist,United States,2023-07-22 04:26:40,,AWS
Senior Lead Data Scientist,United States,2023-07-22 04:26:40,,Azure
Senior Data Engineer,"Temple Terrace, FL",2023-07-22 04:26:40,,Python
Senior Data Engineer,"Temple Terrace, FL",2023-07-22 04:26:40,,SQL
Senior Data Engineer,"Temple Terrace, FL",2023-07-22 04:26:40,,Tableau
Senior Data Engineer,"Alpharetta, GA",2023-07-22 04:26:40,,Python
Senior Data Engineer,"Alpharetta, GA",2023-07-22 04:26:40,,SQL
Senior Data Engineer,"Alpharetta, GA",2023-07-22 04:26:40,,Tableau
Senior Marketing Data Analyst,United States,2023-07-22 04:26:40,,SQL
Senior Marketing Data Analyst,United States,2023-07-22 04:26:40,,Communication
Senior Marketing Data Analyst,United States,2023-07-22 04:26:40,,R
Local Strategy & Analytics Manager - Coastal Plains,"Austin, TX",2023-07-22 04:26:40,,Excel
Local Strategy & Analytics Manager - Coastal Plains,"Irving, TX",2023-07-22 04:26:40,,Excel
Senior Data Engineer,"Irving, TX",2023-07-22 04:26:40,,Python
Senior Data Engineer,"Irving, TX",2023-07-22 04:26:40,,SQL
